Code_postal,Nom_commune_plus_peuplee,Libelle_acheminement,Ligne_5,latitude_avg,longitude_avg,Population,Nombre_communes_INSEE
17150,MIRAMBEAU,MIRAMBEAU,PETIT NIORT,45.3771035869178,-0.589958785319851,7707,15
17160,MATHA,MATHA,,45.8632560610861,-0.296272256755081,7366,17
17170,ST JEAN DE LIVERSAY,ST JEAN DE LIVERSAY,,46.2520404926619,-0.80104232794016,10773,10
17180,PERIGNY,PERIGNY,,46.1598771146651,-1.08891864938841,7811,1
17190,ST GEORGES D OLERON,ST GEORGES D OLERON,SAUZELLE,45.9732020978125,-1.30968229053892,21174,6
17210,MONTLIEU LA GARDE,MONTLIEU LA GARDE,,45.2700221750941,-0.279463708924564,6981,14
17220,STE SOULLE,STE SOULLE,,46.1401526784359,-1.01939474011169,26144,13
17240,ST GENIS DE SAINTONGE,ST GENIS DE SAINTONGE,,45.4702394286203,-0.607718057049967,8460,17
17250,ST PORCHAIRE,ST PORCHAIRE,,45.8338267679903,-0.821837916720783,12725,13
17260,GEMOZAC,GEMOZAC,,45.5817592621233,-0.681106037492484,7534,10
17270,MONTGUYON,MONTGUYON,,45.2037560845756,-0.173443960793533,5912,8
17290,AIGREFEUILLE D AUNIS,AIGREFEUILLE D AUNIS,,46.0876981191782,-0.914377673352581,14910,11
17300,ROCHEFORT,ROCHEFORT,,45.9594382561079,-0.975967150943695,25834,2
17320,MARENNES,MARENNES,,45.8192952514477,-1.0551004633273,10825,5
17330,LOULAY,LOULAY,,46.0686554345963,-0.521212568165738,6848,17
17340,CHATELAILLON PLAGE,CHATELAILLON PLAGE,,46.047946338707,-1.0540682925919,8855,3
17350,ST SAVINIEN,ST SAVINIEN,AGONNAY,45.8683263578345,-0.650695831690612,10923,11
17360,ST AIGULIN,ST AIGULIN,,45.1608883563365,-0.0798515205565772,4117,6
17370,ST TROJAN LES BAINS,ST TROJAN LES BAINS,,45.8499877684728,-1.22765146409697,2426,2
17410,ST MARTIN DE RE,ST MARTIN DE RE,,46.1996451544787,-1.36544385561877,2405,1
17430,TONNAY CHARENTE,TONNAY CHARENTE,,45.9530250266305,-0.823845887123569,16340,10
17470,AULNAY,AULNAY,SALLES LES AULNAY,46.0181054800849,-0.347884848189962,5368,13
17500,JONZAC,JONZAC,,45.4329497341509,-0.402934922994947,13389,24
17520,ARCHIAC,ARCHIAC,,45.5252171963835,-0.339003014027843,6192,14
17540,VERINES,VERINES,,46.1961103887911,-0.907210725582514,7870,7
17570,LES MATHES,LES MATHES,,45.6888025756006,-1.13554659809014,3109,2
17590,ARS EN RE,ARS EN RE,,46.2281302771997,-1.52402411499647,2604,3
17610,CHANIERS,CHANIERS,,45.7225267968678,-0.499108159989498,5591,4
17700,SURGERES,SURGERES,,46.113358312728,-0.72943309667569,16996,13
17730,PORT DES BARQUES,PORT DES BARQUES,,45.9512766254338,-1.09464249911443,1857,1
17740,STE MARIE DE RE,STE MARIE DE RE,,46.1572656056569,-1.3236031903525,3323,1
17800,PONS,PONS,,45.5944694568983,-0.508384178817244,12910,21
17810,ST GEORGES DES COTEAUX,ST GEORGES DES COTEAUX,,45.7599311470366,-0.712365097248725,5034,4
17840,LA BREE LES BAINS,LA BREE LES BAINS,,46.009147808903,-1.35307239138472,718,1
17870,BREUIL MAGNE,BREUIL MAGNE,,45.98781332759,-0.946632512702572,2030,2
17880,LES PORTES EN RE,LES PORTES EN RE,,46.2391024794209,-1.50046937015501,607,1
17890,CHAILLEVETTE,CHAILLEVETTE,,45.72769105357,-1.06694707815008,1490,1
17920,BREUILLET,BREUILLET,,45.7012403404353,-1.05376717007914,2694,1
18110,ST MARTIN D AUXIGNY,ST MARTIN D AUXIGNY,,47.1918488157525,2.40193213097334,11515,10
18170,LE CHATELET,LE CHATELET,,46.6685061217367,2.28990269199871,3302,9
18200,ST AMAND MONTROND,ST AMAND MONTROND,,46.7171379255649,2.48589786224824,17668,18
18250,HENRICHEMONT,HENRICHEMONT,,47.2855646648312,2.61130676010876,3458,7
18270,CULAN,CULAN,,46.5606696554058,2.33860888986082,1690,5
18290,CHAROST,CHAROST,,46.9752664774872,2.14091640699376,3799,7
18300,ST SATUR,ST SATUR,,47.3065402539682,2.81834596478791,9582,18
18310,GRACAY,GRACAY,,47.1587559203826,1.88107428505041,2921,5
18350,NERONDES,NERONDES,,46.951081297831,2.79755454906984,4509,13
18370,CHATEAUMEILLANT,CHATEAUMEILLANT,,46.5274335172515,2.22221043247419,3480,6
18400,ST FLORENT SUR CHER,ST FLORENT SUR CHER,,46.9676791856818,2.24336407007204,9567,5
18410,ARGENT SUR SAULDRE,ARGENT SUR SAULDRE,,47.5566583988524,2.38639324544569,4971,4
18500,MEHUN SUR YEVRE,MEHUN SUR YEVRE,,47.1420661035812,2.22499231215595,15662,7
18510,MENETOU SALON,MENETOU SALON,,47.2412305683788,2.48512223771136,1653,1
18700,AUBIGNY SUR NERE,AUBIGNY SUR NERE,,47.4727713391185,2.38764473797071,6700,4
18800,BAUGY,BAUGY,,47.0754314485492,2.75133589652937,5277,10
19100,BRIVE LA GAILLARDE,BRIVE LA GAILLARDE,,45.1403976438647,1.51738511323321,46794,1
19110,BORT LES ORGUES,BORT LES ORGUES,,45.4379352148445,2.46822953606015,3831,4
19120,BEAULIEU SUR DORDOGNE,BEAULIEU SUR DORDOGNE,,44.9908266221029,1.79904360447672,4962,14
19130,OBJAT,OBJAT,,45.2854973977808,1.38969287533516,8450,10
19140,UZERCHE,UZERCHE,,45.4459302590253,1.5820287097879,5122,5
19230,ARNAC POMPADOUR,ARNAC POMPADOUR,,45.395294305308,1.36938118980399,3834,6
19290,SORNAC,SORNAC,,45.6555324612189,2.15060359163042,2453,8
19310,BRIGNAC LA PLAINE,BRIGNAC LA PLAINE,,45.2289713540874,1.31632060209766,3661,7
19330,CHAMEYRAT,CHAMEYRAT,,45.2773027076492,1.66022296115803,5462,5
19370,CHAMBERET,CHAMBERET,,45.5758557257235,1.72744244814617,1511,2
19380,ALBUSSAC,ALBUSSAC,,45.1464171186231,1.87144246627048,2059,6
19390,ST AUGUSTIN,ST AUGUSTIN,,45.4195424449006,1.82739433289587,993,4
19400,ARGENTAT,ARGENTAT,,45.0962222145298,1.92191203558152,4117,5
19410,VIGEOIS,VIGEOIS,,45.3352618703859,1.50989225134154,3368,5
19490,STE FORTUNADE,STE FORTUNADE,,45.2080509663819,1.75666984804711,1796,1
19560,ST HILAIRE PEYROUX,ST HILAIRE PEYROUX,,45.2120966644912,1.63741226721075,956,1
19600,ST PANTALEON DE LARCHE,ST PANTALEON DE LARCHE,,45.0885693481313,1.45576446990353,10478,9
20000,AJACCIO,AJACCIO,,41.9344038662145,8.67058739138361,67507,1
20090,AJACCIO,AJACCIO,,41.9344038662145,8.67058739138361,67507,1
20110,PROPRIANO,PROPRIANO,,41.6554211525161,8.9108827133268,4721,4
20112,STE LUCIE DE TALLANO,STE LUCIE DE TALLANO,,41.6926179328859,9.06408143238725,684,5
20113,OLMETO,OLMETO,,41.7114175395909,8.89584296006895,1216,1
20121,PASTRICCIOLA,PASTRICCIOLA,,42.1243824072743,8.92962565026145,326,5
20125,SOCCIA,SOCCIA,,42.1894842546355,8.92722371640137,315,3
20128,GROSSETO PRUGNA,GROSSETO PRUGNA,,41.8486961194329,8.90617643669282,4576,4
20130,CARGESE,CARGESE,,42.1532909040826,8.60805814033389,1282,1
20133,UCCIANI,UCCIANI,,42.041143513204,8.9546485585659,836,2
20135,CONCA,CONCA,,41.7460309640446,9.3609093581764,1130,1
20138,COTI CHIAVARI,COTI CHIAVARI,,41.7672355857242,8.73206892423806,743,1
20139,LOPIGNA,LOPIGNA,,42.0903376392761,8.85140958843077,99,1
20140,PETRETO BICCHISANO,PETRETO BICCHISANO,,41.7738600861491,8.93305622574595,2645,8
20141,MARIGNANA,MARIGNANA,,42.2133981985929,8.72549474115197,104,1
20142,CAMPO,CAMPO,,41.8998857570725,9.00532068803887,147,2
20143,FOZZANO,FOZZANO,,41.7064534303163,8.99579951598409,274,2
20144,ZONZA,ZONZA,STE LUCIE DE PORTO VECCHIO,41.7246664372053,9.2858584590584,2553,1
20148,COZZANO,COZZANO,,41.9326743659432,9.18200448586571,288,1
20150,OTA,OTA,PORTO,42.2562682751118,8.73121755786028,1192,2
20152,SORBOLLANO,SORBOLLANO,,41.7480791774612,9.11386920282354,62,1
20153,GUITERA LES BAINS,GUITERA LES BAINS,,41.9260099986766,9.07715968345695,139,1
20163,TAVERA,TAVERA,,42.0673556895243,9.02377907075145,386,1
20167,AJACCIO,AJACCIO,MEZZAVIA,41.9886926573691,8.79341354733234,82326,10
20171,MONACIA D AULLENE,MONACIA D AULLENE,,41.5082968342217,8.99519777064168,486,1
