norm_name,CODEISO3,ambiguité,dep_code
arith,FRA,1,73
arjuzanx,FRA,1,40
arlanc,FRA,1,63
arlay,FRA,1,39
arlebosc,FRA,1,07
arlempdes,FRA,1,43
arles,FRA,1,13
arles tech,FRA,1,66
arlet,FRA,1,43
arleuf,FRA,1,58
arleux,FRA,1,59
arleux gohelle,FRA,1,62
arlos,FRA,1,31
armaille,FRA,1,49
armaucourt,FRA,1,54
armbouts cappel,FRA,1,59
armeau,FRA,1,89
armendarits,FRA,1,64
armentieres,FRA,1,59
armentieres avre,FRA,1,27
armentieres brie,FRA,1,77
armentieres ourcq,FRA,1,02
armentieux,FRA,1,32
armes,FRA,1,58
armillac,FRA,1,47
armissan,FRA,1,11
armix,FRA,1,01
armous cau,FRA,1,32
armoy,FRA,1,74
arnac,FRA,1,15
arnac dourdou,FRA,1,12
arnac pompadour,FRA,1,19
arnac poste,FRA,1,87
arnage,FRA,1,72
arnancourt,FRA,1,52
arnas,FRA,1,69
arnaud guilhem,FRA,1,31
arnave,FRA,1,09
arnaville,FRA,1,54
arnay duc,FRA,1,21
arnay vitteaux,FRA,1,21
arnayon,FRA,1,26
arne,FRA,1,65
arneguy,FRA,1,64
arneke,FRA,1,59
arnicourt,FRA,1,08
arnieres iton,FRA,1,27
arnos,FRA,1,64
arnouville,FRA,1,95
arnouville gonesse,FRA,1,95
arnouville mantes,FRA,1,78
aroffe,FRA,1,88
aromas,FRA,1,39
aron,FRA,1,53
aroue,FRA,1,64
aroue ithorots olhaiby,FRA,1,64
