id,CODEISO3,insee_code,start_datetime,end_datetime,name,norm_name,newest_id,insee_code_history,dep_history,population,dep_code,newest_insee_code,validity,newest_name,newest_dep_code,surface,latitude,longitude,geopoint_2d,Code ONS,Commune,dep,Dates changement,Daira,Code postal,ambiguity,norm_rank,insee_rank
ALCO1620@2017-01-01,DZA,,,,Maison-Blanche,maison blanche,,,,,,,true,Dar El Beida,,,,,,,,,,,,2,1.0,1882.0
ALCO1621@2017-01-01,DZA,,,,Le Retour de la Chasse,retour chasse,,,,,,,true,Bab Ezzouar,,,,,,,,,,,,1,1.0,1883.0
ALCO1623@2017-01-01,DZA,,,,Dely Ibrahim,dely ibrahim,ALCO1623@2017-01-01,,,35230,,,true,Dely Ibrahim,,859,36.75,2.983333,POINT(2.983333 36.75),1623,Dely Ibrahim,Alger,1856;1977,Chéraga,,,1.0,1884.0
ALCO1624@2017-01-01,DZA,,,,El Hammamet,el hammamet,ALCO1624@2017-01-01,,,23990,,,true,El Hammamet,,874,36.81322,2.99072,POINT(2.99072 36.81322),1624,El Hammamet,Alger,1984,Chéraga,,,1.0,1885.0
ALCO1627@2017-01-01,DZA,,,,El Mouradia,el mouradia,ALCO1627@2017-01-01,,,22813,,,true,El Mouradia,,193,36.74792,3.051034,POINT(3.051034 36.74792),1627,El Mouradia,Alger,1984,Sidi M'Hamed,,,1.0,1886.0
ALCO1629@2017-01-01,DZA,,,,Mohammadia,mohammadia,ALCO1629@2017-01-01,,,62543,,,true,Mohammadia,,794,,,,1629,Mohammadia,Alger,1984,Dar El Beïda,,,1.0,1887.0
ALCO1633@2017-01-01,DZA,,,,Les Eucalyptus,les eucalyptus,ALCO1633@2017-01-01,,,116107,,,true,Les Eucalyptus,,3261,36.663875,3.1450081,POINT(3.1450081 36.663875),1633,Les Eucalyptus,Alger,1984,Baraki,,,1.0,1888.0
ALCO1635@2017-01-01,DZA,,,,Tessala El Merdja,tessala el merdja,ALCO1635@2017-01-01,,,15847,,,true,Tessala El Merdja,,2044,36.635228,2.947083,POINT(2.947083 36.635228),1635,Tessala El Merdja,Alger,1984,Birtouta,,,1.0,1890.0
ALCO1637@2017-01-01,DZA,,,,Sidi Moussa,sidi moussa,ALCO1637@2017-01-01,,,40750,,,true,Sidi Moussa,,3956,36.6,3.083333,POINT(3.083333 36.6),1637,Sidi Moussa,Alger,1861,Baraki,,,1.0,1891.0
ALCO1640@2017-01-01,DZA,,,,El Marsa,el marsa,ALCO1640@2017-01-01,,,12100,,,true,El Marsa,,378,,,,1640,El Marsa,Alger,1984,Dar El Beïda,,,1.0,1892.0
ALCO1640@2017-01-01,DZA,,,,Grève-d'El-Mersa,greve el mersa,,,,,,,false,El Mersa,,,,,,,,,,,,3,1.0,2.0
ALCO1640@2017-01-01,DZA,,,,Jean-Bart,jean bart,,,,,,,false,El Marsa,,,,,,,,,,,,3,1.0,3.0
ALCO1641@2017-01-01,DZA,,,,H'raoua,h raoua,ALCO1641@2017-01-01,,,27565,,,true,H'raoua,,1250,36.766667,3.316667,POINT(3.316667 36.766667),1641,H'raoua,Alger,1984,Rouïba,,,1.0,1893.0
ALCO1645@2017-01-01,DZA,,,,Staoueli,staoueli,ALCO1645@2017-01-01,,,47664,,,true,Staoueli,,2098,36.755803,2.890177,POINT(2.890177 36.755803),1645,Staoueli,Alger,1887,Zéralda,,,1.0,1895.0
ALCO1647@2017-01-01,DZA,,,,Mahelma,mahelma,ALCO1647@2017-01-01,,,20758,,,true,Mahelma,,3391,36.6828751,2.8783321,POINT(2.8783321 36.6828751),1647,Mahelma,Alger,1870,Zéralda,,,1.0,1896.0
ALCO1648@2017-01-01,DZA,,,,Sainte-Amélie,sainte amelie,,,,,,,true,Rahmania,,,,,,,,,,,,1,1.0,1897.0
ALCO1649@2017-01-01,DZA,,,,Souidania,souidania,ALCO1649@2017-01-01,,,17105,,,true,Souidania,,1365,36.7079748,2.9125592,POINT(2.9125592 36.7079748),1649,Souidania,Alger,1894,Zéralda,,,1.0,1898.0
ALCO1654@2017-01-01,DZA,,,,Douera,douera,ALCO1654@2017-01-01,,,56998,,,true,Douera,,4004,36.6702433,2.9448509,POINT(2.9448509 36.6702433),1654,Douera,Alger,1851,Draria,,,1.0,1899.0
ALCO1656@2017-01-01,DZA,,,,Crescia,crescia,,,,,,,true,Khraicia,,,,,,,,,,,,1,1.0,1900.0
ALCO1656@2017-01-01,DZA,,,,Khraicia,khraicia,ALCO1656@2017-01-01,,,27910,,,true,Khraicia,,1519,36.6770577,2.981019,POINT(2.981019 36.6770577),1656,Khraicia,Alger,1856;1884;1984,Draria,,,1.0,1901.0
ALCO1657@2017-01-01,DZA,,,,Saoula,saoula,ALCO1657@2017-01-01,,,41690,,,true,Saoula,,2076,36.7,3.016667,POINT(3.016667 36.7),1657,Saoula,Alger,1884,Bir Mourad Raïs,,,1.0,1902.0
ALCO1801@2017-01-01,DZA,,,,Djidjelli,djidjelli,,,,,,,true,Jijel,,,,,,,,,,,,2,1.0,1903.0
ALCO1802@2017-01-01,DZA,,,,Eraguene,eraguene,ALCO1802@2017-01-01,,,2532,,,true,Eraguene,,,36.5861566,5.580647,POINT(5.580647 36.5861566),1802,Eraguene,Jijel,,,,,1.0,1905.0
ALCO1803@2017-01-01,DZA,,,,Montaigne,montaigne,,,,,,,true,El Aouana,,,,,,,,,,,,1,1.0,1906.0
ALCO1804@2017-01-01,DZA,,,,Ziama Mansouriah,ziama mansouriah,ALCO1804@2017-01-01,,,12642,,,true,Ziama Mansouriah,,,36.6737296,5.4810994,POINT(5.4810994 36.6737296),1804,Ziama Mansouriah,Jijel,,,,,1.0,1907.0
ALCO1806@2017-01-01,DZA,,,,Emir Abdelkader,emir abdelkader,ALCO1806@2017-01-01,,,38468,,,true,Emir Abdelkader,,,36.753465,5.849848,POINT(5.849848 36.753465),1806,Emir Abdelkader,Jijel,,,,,1.0,1908.0
ALCO1806@2017-01-01,DZA,,,,Strasbourg,strasbourg,,,,,,,true,Emir Abdelkader,,,,,,,,,,,,1,1.0,1909.0
ALCO1809@2017-01-01,DZA,,,,El Milia,el milia,ALCO1809@2017-01-01,,,78087,,,true,El Milia,,,36.75,6.266667,POINT(6.266667 36.75),1809,El Milia,Jijel,,,,,1.0,1910.0
ALCO1811@2017-01-01,DZA,,,,Catinat,catinat,,,,,,,true,Settara,,,,,,,,,,,,1,1.0,1911.0
ALCO1811@2017-01-01,DZA,,,,Settara,settara,ALCO1811@2017-01-01,,,15155,,,true,Settara,,,36.7195539,6.3355064,POINT(6.3355064 36.7195539),1811,Settara,Jijel,,,,,1.0,1912.0
ALCO1813@2017-01-01,DZA,,,,Sidi Abdelaziz,sidi abdelaziz,ALCO1813@2017-01-01,,,10153,,,true,Sidi Abdelaziz,,,36.85,6.05,POINT(6.05 36.85),1813,Sidi Abdelaziz,Jijel,,,,,1.0,1913.0
ALCO1816@2017-01-01,DZA,,,,Bouraoui Belhadef,bouraoui belhadef,ALCO1816@2017-01-01,,,10336,,,true,Bouraoui Belhadef,,,36.6988253,6.1020255,POINT(6.1020255 36.6988253),1816,Bouraoui Belhadef,Jijel,,,,,1.0,1914.0
ALCO1818@2017-01-01,DZA,,,,Selma Benziada,selma benziada,ALCO1818@2017-01-01,,,920,,,true,Selma Benziada,,,36.626481,5.648346,POINT(5.648346 36.626481),1818,Selma Benziada,Jijel,,,,,1.0,1915.0
ALCO1820@2017-01-01,DZA,,,,El Kennar Nouchfi,el kennar nouchfi,ALCO1820@2017-01-01,,,15852,,,true,El Kennar Nouchfi,,,36.8241692,5.96209,POINT(5.96209 36.8241692),1820,El Kennar Nouchfi,Jijel,,,,,1.0,1916.0
ALCO1821@2017-01-01,DZA,,,,Ouled Yahia Khedrouche,ouled yahia khedrouche,ALCO1821@2017-01-01,,,18323,,,true,Ouled Yahia Khedrouche,,,36.717146,6.201439,POINT(6.201439 36.717146),1821,Ouled Yahia Khedrouche,Jijel,,,,,1.0,1917.0
ALCO1822@2017-01-01,DZA,,,,Boudriaa Ben Yadjis,boudriaa ben yadjis,ALCO1822@2017-01-01,,,10710,,,true,Boudriaa Ben Yadjis,,,36.5992076,5.8071714,POINT(5.8071714 36.5992076),1822,Boudriaa Ben Yadjis,Jijel,,,,,1.0,1918.0
ALCO1826@2017-01-01,DZA,,,,Bordj Tahar,bordj tahar,ALCO1826@2017-01-01,,,3889,,,true,Bordj Tahar,,,36.7469405,6.0342794,POINT(6.0342794 36.7469405),1826,Bordj Tahar,Jijel,,,,,1.0,1919.0
ALCO1828@2017-01-01,DZA,,,,Ouadjana,ouadjana,ALCO1828@2017-01-01,,,9580,,,true,Ouadjana,,,36.7073159,5.8948904,POINT(5.8948904 36.7073159),1828,Ouadjana,Jijel,,,,,1.0,1920.0
ALCO2301@2017-01-01,DZA,,,,Bône,bone,,,,,,,true,Annaba,,,,,,,,,,,,2,1.0,1921.0
ALCO2303@2017-01-01,DZA,,,,El Hadjar,el hadjar,ALCO2303@2017-01-01,,,37364,,,true,El Hadjar,,63,36.8,7.733333,POINT(7.733333 36.8),2303,El Hadjar,Annaba,,,,,1.0,1922.0
ALCO2305@2017-01-01,DZA,,,,El Bouni,el bouni,ALCO2305@2017-01-01,,,125265,,,true,El Bouni,,93,36.838889,7.663889,POINT(7.663889 36.838889),2305,El Bouni,Annaba,,,,,1.0,1923.0
